id,title,description,StartDate,EndDate,PostsNum,Secteur,Fonction,Experience,EtudeLevel,ContratDetails,URL,SiteName,Adresse d'entreprise,Site web d'entreprise,Nom d'entreprise,Description d'entreprise,Region,City,Industry,TraitsPersonnalite,CompetencesRequises,SoftSkills,CompetencesRecommandees,Langue,NiveauLangue,Salaire,AvantagesSociaux,Teletravail
1,Développeur Java,Nous recherchons un développeur Java pour travailler sur des projets innovants.,2024-01-01,2024-12-31,3,IT,Développeur,2-5 ans,Bac+5,CDI,https://www.example.com/job1,ExampleCorp,10 rue de l'Innovation, Paris,https://www.examplecorp.com,ExampleCorp,Une entreprise leader dans le domaine de la technologie.,Île-de-France,Paris,Technologie,Dynamique, créatif,Java, SQL, Spring,Travail en équipe, résolution de problèmes,Python, React,Français,Courant,45 000 €,Mutuelle, Tickets Restaurant,Oui
2,Analyste Data,Poste pour un analyste data avec expertise en traitement de données.,2024-02-01,2025-01-31,2,Data Science,Analyste,1-3 ans,Bac+4,CDI,https://www.example.com/job2,DataCorp,15 rue des Données, Lyon,https://www.datacorp.com,DataCorp,Entreprise spécialisée dans l'analyse de données.,Auvergne-Rhône-Alpes,Lyon,Data Science,Analytique, rigoureux,Python, R, SQL,Communication, travail en équipe,Machine Learning, Hadoop,Anglais,Professionnel,50 000 €,Téléphone mobile, Séminaires,Non
3,Chef de projet Web,Nous cherchons un chef de projet pour gérer des projets web complexes.,2024-03-01,2024-12-31,5,Web,Chef de projet,3-7 ans,Bac+5,CDI,https://www.example.com/job3,WebMaster,20 avenue des Projets, Toulouse,https://www.webmaster.com,WebMaster,Agence spécialisée dans la création de sites web.,Occitanie,Toulouse,Web Development,Organisé, autonome,Gestion de projet, HTML, CSS,Leadership, prise de décision,JavaScript, Node.js,Français,Courant,55 000 €,Prime de performance,Oui
4,Consultant SEO,Nous recrutons un consultant SEO pour optimiser nos sites web.,2024-04-01,2024-09-30,4,Marketing,Consultant,2-4 ans,Bac+3,CDI,https://www.example.com/job4,SEOExpert,25 rue du Référencement, Marseille,https://www.seoexpert.com,SEOExpert,Spécialisée dans l'optimisation SEO des sites web.,Provence-Alpes-Côte d'Azur,Marseille,SEO,Analytiques, méthodique,SEO, Google Analytics,Communication, gestion du temps,PPC, SEM,Anglais,Avancé,40 000 €,Assurance santé, Bonus de performance,Non
5,Responsable IT,Poste à pourvoir pour un responsable IT avec gestion d'équipe.,2024-05-01,2025-04-30,2,IT,Responsable,5-10 ans,Bac+5,CDI,https://www.example.com/job5,TechLeader,30 rue des Technologies, Bordeaux,https://www.techleader.com,TechLeader,Entreprise innovante dans le secteur IT.,Nouvelle-Aquitaine,Bordeaux,IT Management,Leadership, vision stratégique,Gestion d'équipe, cloud computing,Gestion du stress, négociation,DevOps, Kubernetes,Français,Courant,70 000 €,Voiture de fonction,Oui
6,Développeur Frontend,Recherchons un développeur frontend pour créer des interfaces utilisateur modernes.,2024-06-01,2025-05-31,6,IT,Développeur,1-3 ans,Bac+4,CDI,https://www.example.com/job6,FrontendTech,5 rue du Design, Lille,https://www.frontendtech.com,FrontendTech,Entreprise innovante dans le développement frontend.,Hauts-de-France,Lille,Web Development,Créatif, dynamique,JavaScript, HTML, CSS,Collaboration, gestion de projet,React, Vue.js,Français,Avancé,48 000 €,Tickets Restaurant, Formation continue,Non
7,Développeur Mobile,Poste de développeur mobile pour applications Android et iOS.,2024-07-01,2025-06-30,4,Mobile,Développeur,2-4 ans,Bac+4,CDI,https://www.example.com/job7,MobileCorp,8 rue des Applications, Nantes,https://www.mobilecorp.com,MobileCorp,Entreprise spécialisée dans le développement d'applications mobiles.,Pays de la Loire,Nantes,Mobile Development,Autonome, réactif,Java, Kotlin, Swift,Adaptabilité, innovation,Flutter, React Native,Français,Avancé,52 000 €,Mutuelle, Prime de mobilité,Oui
8,Product Owner,Nous recherchons un Product Owner pour gérer le cycle de vie des produits.,2024-08-01,2025-07-31,3,IT,Product Owner,3-5 ans,Bac+5,CDI,https://www.example.com/job8,ProductPlus,12 rue des Produits, Paris,https://www.productplus.com,ProductPlus,Entreprise spécialisée dans la gestion de produits numériques.,Île-de-France,Paris,Product Management,Dynamique, stratégique,Agile, Scrum,Communication, prise de décision,Jira, Trello,Français,Courant,60 000 €,Prime, Télétravail,Oui
9,Data Scientist,Nous recherchons un Data Scientist pour travailler sur des projets de machine learning.,2024-09-01,2025-08-31,2,Data Science,Data Scientist,3-5 ans,Bac+5,CDI,https://www.example.com/job9,DataVision,22 rue de l'Intelligence Artificielle, Grenoble,https://www.datavision.com,DataVision,Entreprise de Data Science spécialisée dans le Big Data.,Auvergne-Rhône-Alpes,Grenoble,Data Science,Curieux, méthodique,Python, R, SQL,Résolution de problèmes, travail d'équipe,TensorFlow, PyTorch,Anglais,Professionnel,65 000 €,Mutuelle, Prime de performance,Non
10,Consultant ERP,Nous cherchons un consultant ERP pour implémenter des solutions logicielles.,2024-10-01,2025-09-30,3,Consulting,Consultant,4-6 ans,Bac+5,CDI,https://www.example.com/job10,ERPConsult,18 rue du Logiciel, Paris,https://www.erpconsult.com,ERPConsult,Consulting en solutions ERP pour diverses entreprises.,Île-de-France,Paris,ERP,Organisé, rigoureux,SAP, Oracle,Prise de décision, gestion de projet,Odoo, Microsoft Dynamics,Français,Avancé,58 000 €,Prime annuelle, Séminaires,Non
11,Ingénieur Réseaux,Recherche ingénieur réseaux pour renforcer notre équipe technique.,2024-11-01,2025-10-31,4,IT,Ingénieur,3-5 ans,Bac+5,CDI,https://www.example.com/job11,NetworkTech,10 rue des Réseaux, Lyon,https://www.networktech.com,NetworkTech,Entreprise innovante spécialisée dans les réseaux et la cybersécurité.,Auvergne-Rhône-Alpes,Lyon,Réseaux,Rigoureux, communicant,Cisco, TCP/IP,Esprit d'équipe, réactivité,Firewall, VPN,Français,Avancé,55 000 €,Mutuelle, Téléphone,Oui
12,Responsable Marketing Digital,Poste pour un responsable marketing digital afin de développer la stratégie numérique de l'entreprise.,2024-12-01,2025-11-30,2,Marketing,Responsable,5-7 ans,Bac+5,CDI,https://www.example.com/job12,DigitalCorp,12 rue du Digital, Paris,https://www.digitalcorp.com,DigitalCorp,Agence spécialisée dans le marketing numérique et la publicité.,Île-de-France,Paris,Marketing,Créatif, stratégique,SEO, SEM,Communication, gestion de projet,Google Ads, Facebook Ads,Français,Courant,60 000 €,Prime annuelle, Tickets Restaurant,Non
13,Architecte Cloud,Nous recherchons un architecte cloud pour déployer des solutions cloud pour nos clients.,2025-01-01,2025-12-31,3,IT,Architecte,4-6 ans,Bac+5,CDI,https://www.example.com/job13,CloudTech,25 avenue des Clouds, Marseille,https://www.cloudtech.com,CloudTech,Entreprise spécialisée dans le cloud computing et les services cloud.,Provence-Alpes-Côte d'Azur,Marseille,Cloud,Innovant, orienté solution,AWS, Azure,Autonomie, gestion du temps,Google Cloud, Kubernetes,Anglais,Professionnel,70 000 €,Mutuelle, Voiture de fonction,Oui
14,Ingénieur DevOps,Nous cherchons un ingénieur DevOps pour renforcer notre infrastructure IT et automatiser les processus.,2025-02-01,2025-12-31,2,IT,Ingénieur,3-5 ans,Bac+5,CDI,https://www.example.com/job14,DevOpsCorp,30 rue des Infrastructures, Lyon,https://www.devopscorp.com,DevOpsCorp,Spécialisée dans l'automatisation et la gestion des infrastructures cloud.,Auvergne-Rhône-Alpes,Lyon,DevOps,Analytique, organisé,Docker, Jenkins,Collaboration, résolution de problèmes,Kubernetes, Terraform,Français,Avancé,65 000 €,Prime de performance,Oui
15,Responsable RH,Recrutement d'un responsable RH pour gérer les talents et développer une politique RH solide.,2025-03-01,2026-02-28,1,Ressources Humaines,Responsable,5-7 ans,Bac+5,CDI,https://www.example.com/job15,HRSolutions,5 rue de l'Emploi, Nantes,https://www.hrsolutions.com,HRSolutions,Cabinet conseil en ressources humaines et recrutement.,Pays de la Loire,Nantes,Ressources Humaines,Diplomate, stratégique,Gestion des talents, recrutement,Communication, écoute,Gestion de crise, coaching,Français,Courant,50 000 €,Mutuelle, Télétravail,Non
16,Consultant en Stratégie,Poste de consultant pour accompagner nos clients dans le développement de leur stratégie.,2025-04-01,2026-03-31,3,Consulting,Consultant,4-6 ans,Bac+5,CDI,https://www.example.com/job16,StrategyConsult,15 rue de la Stratégie, Paris,https://www.strategyconsult.com,StrategyConsult,Entreprise spécialisée dans le conseil stratégique aux grandes entreprises.,Île-de-France,Paris,Consulting,Analytique, stratégique,Stratégie d'entreprise, gestion de projet,Négociation, prise de décision,Planification stratégique, transformation digitale,Français,Avancé,75 000 €,Séminaires, Bonus,Non
17,Développeur Backend,Nous recherchons un développeur backend pour participer au développement de solutions logicielles.,2025-05-01,2025-12-31,4,IT,Développeur,2-4 ans,Bac+4,CDI,https://www.example.com/job17,BackendDev,18 rue du Code, Lille,https://www.backenddev.com,BackendDev,Spécialisée dans le développement de logiciels backend.,Hauts-de-France,Lille,Software Development,Logique, méthodique,Java, Node.js,Collaboration, résolution de problèmes,Spring, Hibernate,Français,Avancé,50 000 €,Prime annuelle,Oui
18,Responsable Financier,Nous cherchons un responsable financier pour superviser les finances de l'entreprise.,2025-06-01,2026-05-31,1,Finance,Responsable,6-8 ans,Bac+5,CDI,https://www.example.com/job18,FinCorp,20 rue des Finances, Lyon,https://www.fincorp.com,FinCorp,Cabinet de conseil spécialisé dans les services financiers.,Auvergne-Rhône-Alpes,Lyon,Finance,Rationnel, rigoureux,Comptabilité, gestion financière,Prise de décision, gestion des risques,Fusion-acquisition, analyse financière,Français,Avancé,80 000 €,Prime de résultat, Séminaires,Non
19,Community Manager,Recherche community manager pour gérer et développer la communauté en ligne de l'entreprise.,2025-07-01,2026-06-30,2,Marketing,Community Manager,2-4 ans,Bac+3,CDI,https://www.example.com/job19,SocialMediaCorp,22 rue des Réseaux Sociaux, Paris,https://www.socialmediacorp.com,SocialMediaCorp,Entreprise spécialisée dans la gestion de communautés en ligne.,Île-de-France,Paris,Marketing Digital,Créatif, communicant,Gestion de communauté, contenu social,Communication, engagement,Publicité en ligne, Analytics,Français,Avancé,45 000 €,Tickets Restaurant, Formation,Non
20,Chargé de Communication,Poste à pourvoir pour un chargé de communication afin de développer les stratégies de communication de l'entreprise.,2025-08-01,2026-07-31,2,Communication,Chargé de Communication,3-5 ans,Bac+4,CDI,https://www.example.com/job20,CommuCorp,10 rue de la Communication, Toulouse,https://www.commucorp.com,CommuCorp,Entreprise spécialisée dans la gestion de la communication d'entreprise.,Occitanie,Toulouse,Communication,Créatif, dynamique,Stratégie de communication, rédaction,Communication, gestion du temps,Réseaux sociaux, rédaction,Français,Courant,50 000 €,Mutuelle, Formation continue,Oui
